日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-07,猎聘,移动端交互设计师,Baidu,上市民企,北京,25-45k·16薪,3-5年,本科,https://www.liepin.com/job/1983690229.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招 适合4.5年经验,是
2026-08-07,猎聘,B端交互设计师,Baidu,上市民企,北京,30-40k·16薪,3年以上,本科,https://www.liepin.com/job/1981865005.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招 适合4.5年经验,是
2026-08-07,猎聘,交互设计师,Baidu,上市民企,北京,15-35k·16薪,3-5年,本科,https://www.liepin.com/job/1975249777.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招,是
2026-08-07,猎聘,高级交互设计师,Baidu,上市民企,北京,25-30k,3年以上,本科,https://www.liepin.com/job/1976152851.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招,是
2026-08-07,猎聘,HCI人机交互设计师-PICO,字节跳动,其他民企（独角兽）,北京,30-60k·15薪,3-5年,本科,https://www.liepin.com/job/1973646061.shtml,已验证（未上市独角兽 张一鸣控股）,已验证（猎聘官方页面）,PICO VR方向 适合4.5年经验,是
2026-08-07,猎聘,HCI人机交互设计师-PICO,字节跳动,其他民企（独角兽）,北京,30-60k·15薪,经验不限,本科,https://www.liepin.com/job/1977899431.shtml,已验证（未上市独角兽 张一鸣控股）,已验证（猎聘官方页面）,PICO VR方向,是
2026-08-07,猎聘,交互设计师-AI大模型,中国电子云,央企,北京,2-4k,3-5年,本科,https://www.liepin.com/job/1973542383.shtml,已验证（中国电子信息产业集团央企子公司）,已验证（猎聘官方页面）,央企背景 薪资偏低需确认,是
2026-08-07,猎聘,交互设计师,石头科技,上市民企,北京,20-35k·16薪,4年以上,本科,https://www.liepin.com/job/1980847233.shtml,已验证（科创板上市688169）,已验证（猎聘官方页面）,科创板上市 非常匹配4.5年经验,是
2026-08-07,猎聘,交互设计师(A119341A),小米,上市民企,北京,25-40k·16薪,5-10年,本科,https://www.liepin.com/job/1981098139.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 500强,是
2026-08-07,猎聘,小米海外光网UI设计师,小米,上市民企,北京,15-30k·15薪,3-5年,本科,https://www.liepin.com/job/1984292803.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 海外方向,是
2026-08-07,猎聘,会员/儿童交互设计师,小米集团,上市民企,北京,30-35k,5-10年,本科,https://www.liepin.com/job/1978167771.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招,是
2026-08-07,猎聘,UI设计师（电商消费下单链路方向）,快手,上市民企,北京,20-35k·16薪,1-3年,本科,https://www.liepin.com/job/1984539037.shtml,已验证（港交所上市1024）,已验证（猎聘官方页面）,大厂直招 电商方向,是
2026-08-07,猎聘,资深UI设计师,作业帮,其他民企（独角兽）,北京,20-35k·15薪,5-10年,本科,https://www.liepin.com/job/1984467671.shtml,已验证（未上市独角兽 D轮+）,已验证（猎聘官方页面）,教育赛道 适合4.5年以上经验,是
2026-08-07,猎聘,高级交互设计师、专家,用友网络,上市民企,北京,26-55k·16薪,3年以上,本科,https://www.liepin.com/job/1940351141.shtml,已验证（上交所上市600588）,已验证（猎聘官方页面）,A股上市 B端企业软件,是
2026-08-07,猎聘,交互设计师,钢研国际新材料创新中心,央企,北京,15-20k,3年以上,本科,https://www.liepin.com/job/1976771209.shtml,已验证（中国钢研科技集团央企子公司）,已验证（猎聘官方页面）,央企背景 稳定,是
2026-08-07,猎聘,XR空间交互设计师,XREAL,其他民企,北京,20-40k·14薪,5-10年,本科,https://www.liepin.com/job/1983067019.shtml,已验证（未上市 AR眼镜公司）,已验证（猎聘官方页面）,XR方向 新兴赛道,是
2026-08-07,猎聘,资深交互设计师,歌尔丹拿科技,上市民企,北京,20-35k,5年以上,本科,https://www.liepin.com/job/1974070581.shtml,已验证（歌尔股份002241子公司）,已验证（猎聘官方页面）,A股上市 声学/VR赛道,是
2026-08-07,猎聘,高级UI设计师,紫光天际(南京)科技,国资控股,北京,15-25k,5-10年,本科,https://www.liepin.com/job/1984171911.shtml,已验证（新紫光集团 国资控股体系）,已验证（猎聘官方页面）,国资控股 稳定,是
2026-08-07,猎聘,AI智能体交互设计师,联想教育,上市民企,北京,50-70k·15薪,6-10年,本科,https://www.liepin.com/job/1983789869.shtml,已验证（联想集团港交所上市0992）,已验证（猎聘官方页面）,大厂直招 AI方向 薪资高,是
2026-08-07,猎聘,UX/交互设计师,法本信息,上市民企,北京,15-18k,5-10年,本科,https://www.liepin.com/job/1979098743.shtml,已验证（深交所上市300925）,已验证（猎聘官方页面）,A股上市 IT服务,是
2026-08-07,猎聘,高级交互设计师,MetaApp,其他民企,北京,20-26k·14薪,3年以上,大专,https://www.liepin.com/job/1980658215.shtml,已验证（未上市 游戏平台）,已验证（猎聘官方页面）,游戏赛道,是
2026-08-07,猎聘,UI设计师,江苏天合储能有限公司,上市民企,南京,14-25k·15薪,3年以上,本科,https://www.liepin.com/job/1977270173.shtml,已验证（天合光能688599子公司）,已验证（猎聘官方页面）,A股科创板上市 新能源,是
2026-08-07,猎聘,交互UI设计师,华乘科技,其他民企,南京,15-18k·14薪,5年以上,本科,https://www.liepin.com/job/1973025725.shtml,已验证（南京民营科技企业）,已验证（猎聘官方页面）,14薪 稳定民企,是
2026-08-07,猎聘,UI设计师,佗道医疗,其他民企,南京,15-22k,2-4年,本科,https://www.liepin.com/job/1984481699.shtml,已验证（医疗机器人 高新技术企业）,已验证（猎聘官方页面）,医疗赛道 非常匹配4.5年经验,是
2026-08-07,猎聘,资深UI设计师,全速创想,其他民企,南京,15-23k,5-10年,本科,https://www.liepin.com/job/1971522195.shtml,待验证（设计公司）,已验证（猎聘官方页面）,设计公司经验要求匹配,是
2026-08-07,猎聘,UI设计师（客户端/web）,纵深视觉科技,其他民企,南京,12-25k,3年以上,本科,https://www.liepin.com/job/1974973805.shtml,待验证（视觉科技公司）,已验证（猎聘官方页面）,薪资范围宽 适合4.5年经验,是
2026-08-07,猎聘,UI设计师-UED,科大讯飞,上市民企,合肥,20-23k·15薪,5-10年,本科,https://www.liepin.com/job/1982835115.shtml,已验证（深交所上市002230）,已验证（猎聘官方页面）,A股上市 AI赛道 适合4.5年+经验,是
2026-08-07,猎聘,UI设计师,科大讯飞,上市民企,合肥,15-25k·14薪,3-5年,本科,https://www.liepin.com/job/1978425743.shtml,已验证（深交所上市002230）,已验证（猎聘官方页面）,A股上市 非常匹配4.5年经验,是
2026-08-07,猎聘,高级UI设计师,美的集团,上市民企,合肥,20-40k·15薪,10年以上,本科,https://www.liepin.com/job/1981590471.shtml,已验证（A股000333/港股0300 500强）,已验证（猎聘官方页面）,世界500强 经验要求偏高,是
